train_loss,valid_loss
3.910737740900705,3.256187231732436
3.6396748320112327,3.0654714176119184
3.4947874217948014,3.0397026997601455
3.531188560470664,3.0463319361662977
3.544629813179566,3.0488665348794317
3.5586846769887837,3.0587806081353697
3.6044557705604046,3.100109017231766
3.54422186443698,3.1003992373328333
3.564116201890314,3.0509939303897493
3.5503004037629515,3.044934878691686
3.5459866813641474,3.086330643028473
3.597229649370498,3.0673370679812404
3.572838098207426,3.0602491300717642
3.5629043712373676,3.045631988468267
3.5232525076616583,3.075065751333265
3.551988311351684,3.048641593850965
3.5676053216789416,3.102364474335292
3.5558010388531356,3.106323402978047
3.5491150774288363,3.1226058716104372
3.5202767120012814,3.0720466084995257
3.5473251801520704,3.055141910192129
3.557107082470766,3.042782858503603
3.53306908305749,3.042879144827224
3.5150750156449613,3.0922067819912646
3.5875912828585577,3.117788462443437
3.579862897959644,3.0846968961025034
3.5636012834283886,3.041100515214643
3.542231499368971,3.0488220736239318
3.561769025508514,3.0794376593173114
3.554361944617798,3.062851853051251
3.5644066007637814,3.0699918044738994
3.5465320492188575,3.0601865582053365
3.530210450985879,3.071058557647326
3.5431434344502453,3.059834038932284
3.5681608651128154,3.042824540381163
3.5838098707286137,3.0594356862997696
3.5700836011530552,3.0758899424954715
3.5191756330986865,3.074165844533127
3.5444000000635953,3.1349213886348366
3.54956054287314,3.0715700810658633
3.5402244540864727,3.1012798322315693
3.5633582341547747,3.068173251288176
3.547167763930123,3.045946048986578
3.5368972989008176,3.135818843039891
3.5892840236701926,3.042484139735274
3.538261603598424,3.0626527441489224
3.5536744942587752,3.0491607801904967
3.548046513667807,3.0649509222958224
3.567784473173937,3.0474597376210824
3.5580300657842683,3.049650896530467
3.545081478945642,3.057211222660719
3.514002997149421,3.0532998017293176
3.558554511511036,3.0895745308076683
3.603182734211109,3.135781842149675
3.581514743830562,3.056024495456841
3.537368706872908,3.062364566885277
3.5609613433604177,3.077448436980734
3.5999583337973173,3.0454165030457867
3.544995041633285,3.1149092611141787
3.54139738256277,3.0686487160068476
3.544438075084406,3.0818175100119483
3.5702925464072,3.13615907841817
3.537307481965228,3.0634456922757134
3.563121463117565,3.0695244994711652
3.5229792075619772,3.0667992593936364
3.5971951249788234,3.0734068488999005
3.5722456498814936,3.049725050212673
3.5299925685122724,3.0460610672616246
3.5231766468516095,3.068198363622853
3.564077965730424,3.0651820180256273
3.5434803118121048,3.062521291801015
3.4898351908243175,3.0483717985455536
3.5379952683641482,3.0458207464564246
3.5371389650067355,3.0711033528677567
3.5485968796174934,3.0442758640870604
3.488673007642964,3.11209670758154
3.542338047351276,3.068512354668907
3.590874855414347,3.0913787399962547
3.543429460037626,3.0746671675781205
3.563734760950051,3.0572002798708087
3.5233815665781307,3.0590333557000715
3.5687254866038742,3.065665303626891
3.556580933483917,3.077979315980281
3.550416754838964,3.054185286012166
3.5287050549907737,3.0997225400624173
3.5819149890139923,3.105109780971651
3.550025657248765,3.0516405979241936
3.575200299677087,3.111473321767621
3.5634681398157535,3.0572286228841987
3.5300032841305415,3.0479177300051297
3.529268397347,3.112704215723795
3.563654909884665,3.0490789278948065
3.5360540357270414,3.048359245163823
3.5825888379824735,3.0478757361619655
3.560512028708831,3.1031116494535507
3.521830972052873,3.0750919732625195
3.5728403109274076,3.0902919552605663
3.545307385153529,3.0499420927315306
3.521888923027527,3.1976294980011826
3.5931813856265196,3.0667839187856747
